"Designator","Manufacturer Part Number","Qty","Link"
,,,
"C1 ","CC0805MRX7R8BB104",1,"https://www.digikey.com/product-detail/en/yageo/CC0805MRX7R8BB104/311-4348-1-ND"
"C2, C3 ","CC0805MKX5R8BB226",2,"https://www.digikey.com/product-detail/en/yageo/CC0805MKX5R8BB226/311-1903-1-ND"
"D1, D2 ","SD0805S040S0R5",2,"https://www.digikey.com/product-detail/en/avx-corporation/SD0805S040S0R5/478-7802-1-ND"
"D3 ","APT2012ZGC",1,"https://www.digikey.com/product-detail/en/kingbright/APT2012ZGC/754-1438-1-ND"
"M1, M2 ","BS170FTA",2,"https://www.digikey.com/product-detail/en/diodes-incorporated/BS170FTA/BS170FCT-ND"
"P1","TSW-103-07-G-D",1,"https://www.digikey.com/product-detail/en/samtec-inc/TSW-103-07-G-D/SAM1028-03-ND"
"P2","TSW-103-07-G-S",1,"https://www.digikey.com/product-detail/en/samtec-inc/TSW-103-07-G-S/SAM1029-03-ND"
"P3, P4, P5","TSW-102-07-G-S",3,"https://www.digikey.com/product-detail/en/samtec-inc/TSW-102-07-G-S/SAM1029-02-ND"
"R1 ","KTR10EZPF4702",1,"https://www.digikey.com/product-detail/en/rohm-semiconductor/KTR10EZPF4702/RHM47-0KAHCT-ND"
"R2 R3 ","KTR10EZPF2203",2,"https://www.digikey.com/product-detail/en/rohm-semiconductor/KTR10EZPF2203/RHM220KAHCT-ND"
"R4 R5 ","ESR10EZPF1001",2,"https://www.digikey.com/product-detail/en/rohm-semiconductor/ESR10EZPF1001/RHM1-00KAECT-ND"
"S1 ","SLB12814",1,"https://www.digikey.com/product-detail/en/apem-inc/SLB12814/679-3547-ND"
"S2 ","B3U-1100P",1,"https://www.digikey.com/product-detail/en/omron-electronics-inc-emc-div/B3U-1100P/SW1021CT-ND"
"U1 ","ATMEGA328P-AU",1,"https://www.digikey.com/product-detail/en/microchip-technology/ATMEGA328P-AU/ATMEGA328P-AU-ND"
"U2 ","MCP1703T-5002E/CB",1,"https://www.digikey.com/product-detail/en/microchip-technology/MCP1703T-5002E-CB/MCP1703T-5002E-CBCT-ND/1776947"
